title,rating,reviews,description,price,link
Basic Pack,4.90,6238 reviews,Get started jumping or integrate into your current routine.• Get Lean Set + Wall Mount• Jump Rope Mat• 3/4 LB Rope.,$199,/products/basic-pack
AMP™ Double Under Training Set,4.25,4 reviews,Push your training to the max with our Bluetooth-connected double under jump rope set.,$199,/products/amp-double-under-training-set
Heavy Performance Set,4.91,271 reviews,Step up your heavy weight game! Designed to incrementally challenge the intensity of your workout.,$169,/products/heavy-performance-set-2023
Heavy Performance Handles,4.97,117 reviews,Re-engineered design and grip for comfortable use with Heavy Performance ropes.,$79.95,/products/heavy-performance-handles-2023
Heavy Ropes Bundle,4.91,271 reviews,Step up your heavy weight game! Designed to help you develop new levels of strength and power.,$109,/products/heavy-ropes-bundle
3/4 LB Heavy Rope,4.97,147 reviews,Ideal for high level cardio + beginners starting with heavy ropes.,$39.95,/products/3-4-lb-heavy-jump-rope
1 1/2 LB Heavy Rope,4.86,104 reviews,Ideal for high-intensity and dynamic strength workouts.,$49.95,/products/1-1-2-lb-heavy-jump-rope
3 LB Heavy Rope,4.87,125 reviews,Ideal for next level strength and power workouts.,$54.95,/products/3-lb-heavy-jump-rope
Ultra Heavy Performance Set,4.95,131 reviews,Put your strength to the test with our heaviest ropes to date. Not for beginners.,$249,/products/ultra-heavy-performance-set-2023
Ultra Heavy Performance Handles,4.89,88 reviews,Re-engineered design and grip for comfortable use with Ultra Heavy Performance ropes.,$79,/products/ultra-heavy-performance-handles-2023
4 LB Heavy Rope,4.88,43 reviews,Take your strength workouts to the next level.,$79.95,/products/4-lb-heavy-rope
5 LB Heavy Rope,4.97,70 reviews,"The heaviest rope in our lineup, built for the ultimate challenge.",$89,/products/5-lb-heavy-rope
Speed Performance Set,4.90,300 reviews,"For jumpers looking to elevate their speed, performance, and double unders.",$169,/products/speed-performance-set-2023
Speed Performance Handles,4.92,104 reviews,High-performance handles for use with lighter weighted ropes,$79.95,/products/speed-performance-handles-2023
Speed Ropes Bundle,4.90,300 reviews,"For jumpers looking to elevate their speed, performance, and double unders.",$69,/products/speed-ropes-bundle
3 oz Speed Rope,4.90,200 reviews,"Designed to enhance your cardio, speed, and performance.",$29.95,/products/3-oz-speed-rope
6 oz Speed Rope,4.85,112 reviews,Add versatility to your speed and cardio workouts.,$34.95,/products/6-oz-speed-rope
9 oz Speed Rope,4.96,74 reviews,Perfect your double under and all-around skills training.,$39.95,/products/9-oz-speed-rope
WODprep Jump Rope Set,4.70,10 reviews,"Finally learn double unders using this specially designed jump rope set! For a limited time, save $50 and get FREE access to the Double Under Pro Course ($197 value).",$79,/products/wodprep-jump-rope-set
Kathy Jumps Strength Builder Set,5.00,5 reviews,"A Crossrope x Kathy Jumps exclusive. Jump start your fitness journey with custom Power Handles, a 1/2 LB rope, and a 1 LB rope.",$149,/products/kathy-jumps-strength-builder-jump-rope-set
Kathy Jumps AMP™ Set,0.00,No reviews,A Crossrope x Kathy Jumps collaboration. Burn more calories in less time with our Bluetooth-connected jump rope set.,$199,/products/kathy-jumps-amp-set
Kathy Jumps Beaded Jump Rope,5.00,4 reviews,"This all-purpose rope can be used for basic jumping, tricks, and anything in between.",$19.95,/products/kathy-jumps-beaded-jump-rope
Kathy Jumps 1/2 LB Pink Jump Rope,0.00,No reviews,A Crossrope x Kathy Jumps exclusive. Jump start your fitness journey with this custom 1/2 LB rope.,$44.95,/products/1-2-lb-pink-jump-rope
Kathy Jumps 1 LB Blue Jump Rope,4.90,857 reviews,Ideal for high-intensity and upper-body strength training.,$50.95,/products/1-lb-blue-jump-rope
Vinny Jumps Beaded Jump Rope,4.50,4 reviews,"This all-purpose rope can be used for basic jumping, tricks, and anything in between.",$19.95,/products/vinny-jumps-beaded-jump-rope
Vinny Jumps Freestyle Rope,5.00,4 reviews,Designed to challenge and enhance your skills. Built for jumpers looking to level up and learn new tricks.,$19.95,/products/vinny-jumps-freestyle-rope
Bolt Set,4.88,309 reviews,Built for maximum speed and double under performance.,$69.95,/products/bolt-jump-rope-set
1 oz Sprint Rope (Bolt),4.79,19 reviews,The 1 oz Sprint Rope for use with the Bolt Set.,$8.95,/products/1-oz-sprint-rope
2 oz Speed Rope (Bolt),4.83,24 reviews,The 2 oz Speed Rope for use with the Bolt Set.,$9.95,/products/2-oz-speed-rope
Eugenie Jumps Freestyle Rope,0.00,No reviews,A Crossrope x Eugenie Jumps exclusive.,$19.95,/products/eugenie-jumps-freestyle-rope
Kathy Jumps Beaded Jump Rope,5.00,4 reviews,"This all-purpose rope can be used for basic jumping, tricks, and anything in between.",$19.95,/products/kathy-jumps-beaded-jump-rope
Freestyle Rope,4.86,441 reviews,Challenge yourself and enhance your skills with our new Freestyle Rope.,$19.95,/products/freestyle-le-rope
Replacement Freestyle Rope,4.85,55 reviews,Ideal for experienced jumpers looking to enhance their skills and learn new tricks.,$7.95,/products/replacement-freestyle-le-rope
Men's We Jump Tank,5.00,8 reviews,"Sweat wicking, anti-odor material for a comfortable workout.",$19.95,/products/mens-we-jump-tank
Women's We Jump Sports Bra,5.00,12 reviews,Offers you the support you need when jumping.,$19.95,/products/womens-we-jump-sports-bra
Men's We Jump Tee,5.00,4 reviews,Built for movement and crafted with a short sleeve design for unrestricted rotation.,$19.95,/products/mens-we-jump-tee
Men’s Compression Split Shorts,4.50,4 reviews,Designed for optimum performance and range of motion.,$34.95,/products/mens-we-jump-shorts
Women's We Jump Tee,4.80,10 reviews,"Lightweight, slim fitting tee made with bamboo cotton tee.",$19.95,/products/womens-we-jump-tee
Women's We Jump Sleeveless Hoodie,5.00,4 reviews,Relaxed and comfortable fit. Made from a soft bamboo cotton.,$40.95,/products/womens-we-jump-sleeveless-hoodie
Women's We Jump Tights,5.00,4 reviews,Lightweight and agile design offers unrestricted movement while jumping.,$30.95,/products/womens-we-jump-tights
Alala x Crossrope Vamp Short,0.00,No reviews,"Comfortable and unrestricted, these bike shorts are ready for your favorite jump rope workout.",$59.95,/products/vamp-short
